,name,hymeniumType,capShape,whichGills,stipeCharacter,sporePrintColor,ecologicalType,howEdible
366,Marasmius oreades,gills on hymenium,"cap is convex
   or umbonate",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: choice
367,Marasmius rotula,gills on hymenium,cap is convex,hymenium is free,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
368,Matsutake,gills on hymenium,cap is convex,hymenium is adnexed,stipe has a ring,spore print is white,ecology is mycorrhizal,edibility: choice
369,Melanoleuca,gills on hymenium,"cap is convex
   or depressed","hymenium is adnate
   or adnexed",stipe is bare,"spore print is white
   to cream",ecology is saprotrophic,"edibility: edible
   or unknown"
370,Melanoleuca melaleuca,gills on hymenium,"cap is convex
   or umbonate",hymenium is emarginate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
371,Meripilus giganteus,pores on hymenium,"cap is offset
   or indistinct",hymenium is decurrent,lacks a stipe,spore print is white,ecology is saprotrophic,edibility: edible
372,Morchella esculenta,smooth hymenium,"cap is conical
   or ovate",hymenium attachment is irregular or not applicable,stipe is bare,"spore print is cream
   to yellow","ecology is mycorrhizal
   or saprotrophic",edibility: choice
373,Morchella semilibera,smooth hymenium,"cap is conical
   or ovate",hymenium attachment is irregular or not applicable,stipe is bare,"spore print is cream
   to yellow","ecology is mycorrhizal
   or saprotrophic",edibility: choice
374,Morchella tomentosa,smooth hymenium,"cap is conical
   or ovate",hymenium attachment is irregular or not applicable,stipe is bare,"spore print is cream
   to yellow","ecology is mycorrhizal
   or saprotrophic",edibility: choice
375,Mycena acicula,gills on hymenium,"cap is conical
   or campanulate",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
376,Mycena adonis,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
377,Mycena adscendens,gills on hymenium,cap is conical,"hymenium is free
   or adnexed",stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
378,Mycena aetites,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
379,Mycena alcalina,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,"edibility: edible, but unpalatable"
380,Mycena alnicola,gills on hymenium,"cap is conical
   or campanulate",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
381,Mycena arcangeliana,gills on hymenium,"cap is conical
   or campanulate",hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
382,Mycena atkinsoniana,gills on hymenium,"cap is conical
   or flat",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
383,Mycena aurantiomarginata,gills on hymenium,"cap is conical
   or campanulate",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
384,Mycena californiensis,gills on hymenium,"cap is conical
   or campanulate",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
385,Mycena chlorophos,gills on hymenium,"cap is conical
   or flat","hymenium is free
   or adnexed",stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
386,Mycena cinerella,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
387,Mycena clariviolacea,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
388,Mycena crocata,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
389,Mycena crocea,gills on hymenium,"cap is conical
   or convex",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
390,Mycena cyanorrhiza,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
391,Mycena cystidiosa,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
392,Mycena flavescens,gills on hymenium,"cap is conical
   or campanulate",hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
393,Mycena flavoalba,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
394,Mycena fonticola,gills on hymenium,cap is conical,hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
395,Mycena fuscoaurantiaca,gills on hymenium,cap is conical,hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
396,Mycena galericulata,gills on hymenium,cap is conical,"hymenium is adnexed
   or sinuate",stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
397,Mycena galopus,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
398,Mycena haematopus,gills on hymenium,"cap is conical
   or campanulate",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
399,Mycena inclinata,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,"edibility: inedible
   or unknown"
400,Mycena intersecta,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
401,Mycena lanuginosa,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
402,Mycena lazulina,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
403,Mycena leaiana,gills on hymenium,cap is conical,hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
404,Mycena leptocephala,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
405,Mycena luxaeterna,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
406,Mycena maculata,gills on hymenium,cap is conical,"hymenium is adnate
   or sinuate",stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
407,Mycena metata,gills on hymenium,"cap is conical
   or campanulate",hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
408,Mycena multiplicata,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
409,Mycena mustea,gills on hymenium,cap is conical,hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
410,Mycena nargan,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
411,Mycena nidificata,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
412,Mycena olida,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
413,Mycena overholtsii,gills on hymenium,cap is convex,"hymenium is adnate
   or adnexed",stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
414,Mycena polygramma,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
415,Mycena pura,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: poisonous
416,Mycena purpureofusca,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
417,Mycena renati,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
418,Mycena rosea,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
419,Mycena rosella,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
420,Mycena sanguinolenta,gills on hymenium,"cap is conical
   or convex",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
421,Mycena stylobates,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
422,Mycena urania,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
423,Mycena vinacea,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
424,Mycena vitilis,gills on hymenium,cap is conical,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
425,Mycetinis alliaceus,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
426,Mycetinis querceus,gills on hymenium,cap is convex,"hymenium is adnate
   or adnexed",stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
427,Mycetinis scorodonius,gills on hymenium,cap is convex,"hymenium is adnate
   or adnexed",stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
428,Mythicomyces,gills on hymenium,"cap is conical
   or convex","hymenium is adnate
   or adnexed",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: unknown
429,Mythicomyces corneipes,gills on hymenium,"cap is conical
   or convex","hymenium is adnate
   or adnexed",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: unknown
430,Neoboletus luridiformis,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is olive-brown,ecology is mycorrhizal,"edibility: choice
   but not recommended"
431,Neolentinus lepideus,gills on hymenium,"cap is convex
   or flat","hymenium is adnate
   or decurrent",stipe has a ring,spore print is white,ecology is saprotrophic,"edibility: edible
   or inedible"
432,Nidulariaceae,glebal hymenium,cap is infundibuliform,hymenium attachment is not applicable,lacks a stipe,spore print is brown,ecology is saprotrophic,edibility: inedible
433,Omphalotus illudens,gills on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is saprotrophic,edibility: poisonous
434,Omphalotus japonicus,gills on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is saprotrophic,edibility: poisonous
435,Omphalotus nidiformis,gills on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is white,"ecology is saprotrophic
   or parasitic",edibility: poisonous
436,Omphalotus olearius,gills on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is saprotrophic,edibility: poisonous
437,Omphalotus olivascens,gills on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is yellow,ecology is saprotrophic,edibility: poisonous
438,Orellani,gills on hymenium,cap is umbonate,hymenium is adnexed,stipe has a cortina,spore print is brown,ecology is mycorrhizal,edibility: deadly
439,Panaeolina castaneifolia,gills on hymenium,"cap is campanulate
   or convex","hymenium is adnexed
   or adnate",stipe is bare,spore print is blackish-brown,ecology is saprotrophic,edibility: unknown
440,Panaeolus acuminatus,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is black,ecology is saprotrophic,edibility: unknown
441,Panaeolus africanus,gills on hymenium,cap is convex,"hymenium is adnexed
   or adnate",stipe is bare,spore print is black,ecology is saprotrophic,edibility: psychoactive
442,Panaeolus antillarum,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is black,ecology is saprotrophic,edibility: edible
443,Panaeolus bisporus,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is black,ecology is saprotrophic,edibility: psychoactive
444,Panaeolus cambodginiensis,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is black,ecology is saprotrophic,edibility: psychoactive
445,Panaeolus cinctulus,gills on hymenium,"cap is campanulate
   or convex","hymenium is adnate
   or adnexed",stipe is bare,spore print is black,ecology is saprotrophic,edibility: psychoactive
446,Panaeolus cyanescens,gills on hymenium,cap is convex,hymenium is adnate,stipe is bare,spore print is black,ecology is saprotrophic,edibility: psychoactive
447,Panaeolus fimicola,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is black,ecology is saprotrophic,edibility: unknown
448,Panaeolus foenisecii,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is blackish-brown,ecology is saprotrophic,edibility: edible
449,Panaeolus olivaceus,gills on hymenium,"cap is campanulate
   or convex","hymenium is adnexed
   or adnate",stipe is bare,spore print is black,ecology is saprotrophic,edibility: psychoactive
450,Panaeolus papilionaceus,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is black,ecology is saprotrophic,edibility: edible
451,Panaeolus papilionaceus var. parvisporus,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is black,ecology is saprotrophic,"edibility: edible
   but not recommended"
452,Panaeolus semiovatus var. phalaenarum,gills on hymenium,cap is convex,hymenium is adnexed,stipe has a ring,spore print is black,ecology is saprotrophic,edibility: edible
453,Panaeolus semiovatus var. semiovatus,gills on hymenium,cap is convex,hymenium is adnexed,stipe has a ring,spore print is black,ecology is saprotrophic,edibility: unknown
454,Panaeolus tropicalis,gills on hymenium,"cap is convex
   or campanulate",hymenium is adnexed,stipe is bare,spore print is black,ecology is saprotrophic,edibility: psychoactive
455,Panellus stipticus,gills on hymenium,cap is convex,hymenium is free,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
456,pantherina,gills on hymenium,cap is flat,hymenium is free,stipe has a ring and volva,spore print is white,ecology is mycorrhizal,"edibility: poisonous
   or psychoactive"
457,Panus conchatus,gills on hymenium,"cap is convex
   or flat",hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
458,Paragyrodon,pores on hymenium,cap is infundibuliform,hymenium is adnate,stipe has a cortina,spore print is yellow-brown,ecology is mycorrhizal,edibility: unknown
459,Paragyrodon sphaerosporus,pores on hymenium,cap is infundibuliform,hymenium is adnate,stipe has a cortina,spore print is yellow-brown,ecology is mycorrhizal,edibility: unknown
460,Paralepista flaccida,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
461,Parasola plicatilis,gills on hymenium,"cap is convex
   or depressed",hymenium is free,stipe is bare,spore print is black,ecology is saprotrophic,edibility: inedible
462,Paxillus filamentosus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: unknown
463,Paxillus involutus,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: deadly
464,Paxillus vernalis,gills on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: unknown
465,Phaeolepiota,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring,spore print is reddish-brown,ecology is mycorrhizal,"edibility: not recommended
   or poisonous"
466,Phaeolepiota aurea,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe has a ring,spore print is reddish-brown,ecology is mycorrhizal,"edibility: not recommended
   or poisonous"
467,Phaeolus schweinitzii,pores on hymenium,cap is offset,hymenium is decurrent,stipe is bare,"spore print is white
   to yellow",ecology is parasitic,"edibility: unknown
   or poisonous"
468,Phallus pygmaeus,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,stipe has a volva,spore print is olive,ecology is saprotrophic,edibility: unknown
469,Phlebopus marginatus,pores on hymenium,cap is convex,hymenium is seceding,stipe is bare,spore print is brown,ecology is mycorrhizal,edibility: not recommended
470,Pholiota flammans,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,"spore print is brown
   to reddish-brown",ecology is saprotrophic,edibility: inedible
471,Pholiota squarrosa,gills on hymenium,"cap is convex
   or flat","hymenium is adnate
   or sinuate",stipe has a ring,spore print is brown,ecology is parasitic,edibility: poisonous
472,Pholiotina cyanopus,gills on hymenium,"cap is conical
   or convex",hymenium is adnate,stipe is bare,spore print is brown,ecology is saprotrophic,edibility: psychoactive
473,Pholiotina rugosa,gills on hymenium,"cap is conical
   or flat",hymenium is adnexed,stipe has a ring,"spore print is brown
   to reddish-brown",ecology is saprotrophic,edibility: deadly
474,Pholiotina smithii,gills on hymenium,"cap is conical
   or convex",hymenium is adnate,stipe is bare,spore print is brown,ecology is saprotrophic,edibility: psychoactive
475,Plectania nannfeldtii,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
476,Pleurocybella porrigens,gills on hymenium,cap is infundibuliform,hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: not recommended
477,Pleurotus citrinopileatus,gills on hymenium,"cap is flat
   or depressed",hymenium is decurrent,stipe is bare,spore print is pink,ecology is saprotrophic,edibility: choice
478,Pleurotus cornucopiae,gills on hymenium,cap is offset,hymenium is decurrent,stipe has a ring,spore print is white,"ecology is saprotrophic
   or parasitic",edibility: edible
479,Pleurotus dryinus,gills on hymenium,cap is offset,hymenium is decurrent,stipe has a ring,spore print is white,"ecology is saprotrophic
   or parasitic",edibility: edible
480,Pleurotus eryngii,gills on hymenium,"cap is depressed
   or offset",hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: choice
481,Pleurotus ostreatus,gills on hymenium,cap is offset,hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: choice
482,Pleurotus pulmonarius,gills on hymenium,"cap is offset
   or convex",hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: choice
483,Pluteus,gills on hymenium,"cap is flat
   or convex",hymenium is free,stipe is bare,spore print is pink,ecology is saprotrophic,"edibility: edible
   or psychoactive"
484,Pluteus americanus,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe is bare,spore print is pink,ecology is saprotrophic,"edibility: psychoactive
   or '"
485,Pluteus cervinus,gills on hymenium,"cap is flat
   or umbonate",hymenium is free,stipe is bare,"spore print is salmon
   to reddish-brown",ecology is saprotrophic,edibility: edible
486,Pluteus leoninus,gills on hymenium,cap is convex,hymenium is free,stipe is bare,spore print is salmon,ecology is saprotrophic,edibility: edible
487,Pluteus salicinus,gills on hymenium,"cap is convex
   or flat",hymenium is free,stipe is bare,spore print is pink,ecology is saprotrophic,"edibility: psychoactive
   or edible"
488,Podaxis pistillaris,gills on hymenium,cap is conical,hymenium is seceding,stipe has a ring,"spore print is buff
   to reddish-brown",ecology is saprotrophic,edibility: inedible
489,Podostroma cornu-damae,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,stipe is bare,"spore print is yellow
   to brown",ecology is saprotrophic,edibility: deadly
490,Polyozellus,ridges on hymenium,cap is infundibuliform,hymenium attachment is irregular or not applicable,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
491,Polyozellus multiplex,ridges on hymenium,cap is infundibuliform,hymenium attachment is irregular or not applicable,stipe is bare,spore print is white,ecology is mycorrhizal,edibility: edible
492,Polyporus alveolaris,pores on hymenium,cap is offset,hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: inedible
493,Polyporus squamosus,pores on hymenium,"cap is depressed
   or offset",hymenium is decurrent,stipe is bare,spore print is white,"ecology is saprotrophic
   or parasitic","edibility: edible
   or inedible"
494,Porphyrellus porphyrosporus,pores on hymenium,cap is convex,hymenium is adnate,stipe is bare,"spore print is purple
   to brown",ecology is mycorrhizal,edibility: inedible
495,Porpolomopsis lewelliniae,gills on hymenium,cap is umbonate,hymenium is adnexed,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
496,Protostropharia semiglobata,gills on hymenium,cap is convex,hymenium is adnate,stipe has a ring,spore print is purple-black,ecology is saprotrophic,"edibility: edible, but unpalatable"
497,Psathyrella ammophila,gills on hymenium,"cap is campanulate
   or flat",hymenium is adnate,stipe is bare,spore print is blackish-brown,ecology is saprotrophic,edibility: inedible
498,Pseudocolus fusiformis,glebal hymenium,no distinct cap,hymenium attachment is irregular or not applicable,lacks a stipe,spore print is olive-brown,ecology is saprotrophic,edibility: inedible
499,Pseudohydnum gelatinosum,teeth on hymenium,cap is depressed,hymenium is decurrent,stipe is bare,spore print is white,ecology is saprotrophic,edibility: edible
500,Psilocybe atlantis,gills on hymenium,"cap is conical
   or convex",hymenium is adnate,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
501,Psilocybe aucklandii,gills on hymenium,"cap is conical
   or umbonate",hymenium is adnate,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
502,Psilocybe aztecorum,gills on hymenium,"cap is convex
   or campanulate","hymenium is adnate
   or adnexed",stipe is bare,spore print is purple,ecology is saprotrophic,edibility: psychoactive
503,Psilocybe azurescens,gills on hymenium,"cap is convex
   or umbonate","hymenium is adnate
   or sinuate",stipe is bare,"spore print is blackish-brown
   to purple",ecology is saprotrophic,edibility: psychoactive
504,Psilocybe baeocystis,gills on hymenium,"cap is convex
   or conical","hymenium is adnate
   or sinuate",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
505,Psilocybe caerulescens,gills on hymenium,cap is convex,"hymenium is adnate
   or sinuate",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
506,Psilocybe caerulipes,gills on hymenium,"cap is convex
   or umbonate","hymenium is adnate
   or sinuate",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
507,Psilocybe cubensis,gills on hymenium,"cap is convex
   or flat","hymenium is adnate
   or adnexed",stipe has a ring,spore print is purple,ecology is saprotrophic,edibility: psychoactive
508,Psilocybe cyanescens,gills on hymenium,cap is flat,"hymenium is adnate
   or subdecurrent",stipe is bare,"spore print is blackish-brown
   to purple",ecology is saprotrophic,edibility: psychoactive
509,Psilocybe cyanofibrillosa,gills on hymenium,"cap is convex
   or conical","hymenium is adnate
   or sinuate",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
510,Psilocybe fimetaria,gills on hymenium,"cap is convex
   or campanulate","hymenium is adnate
   or sinuate",stipe has a cortina,"spore print is blackish-brown
   to purple",ecology is saprotrophic,edibility: psychoactive
511,Psilocybe galindoi,gills on hymenium,"cap is conical
   or campanulate",hymenium is adnate,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
512,Psilocybe graveolens,gills on hymenium,"cap is convex
   or umbonate",hymenium is adnexed,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
513,Psilocybe guilartensis,gills on hymenium,"cap is conical
   or convex",hymenium is adnexed,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
514,Psilocybe hispanica,gills on hymenium,"cap is conical
   or convex",hymenium is adnexed,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
515,Psilocybe hoogshagenii,gills on hymenium,"cap is conical
   or convex","hymenium is adnate
   or adnexed",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
516,Psilocybe liniformans var. americana,gills on hymenium,cap is convex,hymenium is adnexed,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
517,Psilocybe meridionalis,gills on hymenium,"cap is conical
   or convex","hymenium is adnate
   or adnexed",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
518,Psilocybe mescaleroensis,gills on hymenium,"cap is conical
   or convex","hymenium is adnate
   or adnexed",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
519,Psilocybe mexicana,gills on hymenium,"cap is conical
   or umbonate",hymenium is adnate,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
520,Psilocybe naematoliformis,gills on hymenium,"cap is umbonate
   or campanulate","hymenium is adnate
   or sinuate",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
521,Psilocybe ovoideocystidiata,gills on hymenium,"cap is convex
   or umbonate",hymenium is adnate,stipe has a ring,"spore print is blackish-brown
   to purple",ecology is saprotrophic,edibility: psychoactive
522,Psilocybe pelliculosa,gills on hymenium,"cap is conical
   or campanulate","hymenium is adnate
   or seceding",stipe is bare,spore print is purple,ecology is saprotrophic,edibility: psychoactive
523,Psilocybe plutonia,gills on hymenium,cap is umbonate,hymenium is adnexed,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
524,Psilocybe quebecensis,gills on hymenium,"cap is convex
   or conical","hymenium is adnate
   or sinuate",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
525,Psilocybe samuiensis,gills on hymenium,"cap is conical
   or umbonate",hymenium is adnate,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
526,Psilocybe semilanceata,gills on hymenium,"cap is conical
   or umbonate","hymenium is adnate
   or adnexed",stipe is bare,"spore print is brown
   to purple",ecology is saprotrophic,edibility: psychoactive
527,Psilocybe serbica,gills on hymenium,"cap is convex
   or conical","hymenium is adnate
   or adnexed",stipe has a cortina,"spore print is blackish-brown
   to purple",ecology is saprotrophic,edibility: psychoactive
528,Psilocybe strictipes,gills on hymenium,"cap is conical
   or campanulate","hymenium is adnate
   or subdecurrent",stipe is bare,"spore print is brown
   to purple",ecology is saprotrophic,edibility: psychoactive
529,Psilocybe stuntzii,gills on hymenium,"cap is convex
   or umbonate","hymenium is adnate
   or sinuate",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
530,Psilocybe subaeruginascens,gills on hymenium,"cap is conical
   or convex","hymenium is adnate
   or adnexed",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
531,Psilocybe subaeruginosa,gills on hymenium,"cap is conical
   or umbonate","hymenium is adnate
   or adnexed",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
532,Psilocybe subcaerulipes,gills on hymenium,"cap is conical
   or convex",hymenium is adnate,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
533,Psilocybe tampanensis,gills on hymenium,"cap is convex
   or flat",hymenium is adnexed,stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
534,Psilocybe villarrealiae,gills on hymenium,"cap is conical
   or convex","hymenium is adnate
   or sinuate",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
535,Psilocybe weilii,gills on hymenium,"cap is convex
   or umbonate","hymenium is adnate
   or sinuate",stipe is bare,"spore print is brown
   to purple",ecology is saprotrophic,edibility: psychoactive
536,Psilocybe weraroa,gills on hymenium,"cap is conical
   or ovate",hymenium attachment is irregular or not applicable,"stipe is bare
   or lacks a stipe",spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
537,Psilocybe yungensis,gills on hymenium,"cap is conical
   or campanulate","hymenium is adnate
   or adnexed",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
538,Psilocybe zapotecorum,gills on hymenium,"cap is conical
   or convex","hymenium is adnate
   or sinuate",stipe is bare,spore print is purple-brown,ecology is saprotrophic,edibility: psychoactive
539,Pulveroboletus ravenelii,pores on hymenium,"cap is convex
   or flat",hymenium attachment is not applicable,stipe has a ring,spore print is olive-brown,ecology is mycorrhizal,edibility: edible
540,Ramaria flavosaponaria,smooth hymenium,no distinct cap,hymenium attachment is not applicable,stipe is bare,"spore print is ochre
   to buff",ecology is mycorrhizal,edibility: unknown
541,Ramaria formosa,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: poisonous
542,Ramaria stricta,smooth hymenium,no distinct cap,hymenium attachment is irregular or not applicable,stipe is bare,spore print is yellow,ecology is mycorrhizal,edibility: poisonous
543,Rhizomarasmius epidryas,gills on hymenium,"cap is depressed
   or convex",hymenium is adnate,stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
544,Rhizomarasmius setosus,gills on hymenium,cap is convex,"hymenium is adnate
   or subdecurrent",stipe is bare,spore print is white,ecology is saprotrophic,edibility: unknown
